Words
i
use
this
with
the
“
citrus
clean
balm
&
make-up
melt
to
double
cleanse
and
it
has
completely
changed
my
skin
(
for
better
)
.
is
oil
based
removes
all
of
your
makeup
super
easily
water
cleanser
","
also
just
by
itself
when
am
not
wearing
leaves
gently
cleansed
but
without
stripping
10/10
recommend
perfection
!
bought
lip
mask
after
reading
reviews
hype
unfortunately
did
expectations
as
vaseline
petroleum
jelly
works
way
me
review
says
get
so
excited
into
bed
apply
do
see
a
difference
because
suffer
from
dry
cracked
lips
drink
lot
daily
nothing
helped
until
started
using
have
always
loved
formula
long
time
honestly
even
night
an
everyday
love
texture
gummy
bear
second
most
favourite
scent
grapefruit
best
in
opinion
if
you
must
few
weeks
will
thought
was
little
expensive
goes
worth
price
great
put
on
every
before
go
sleep
morning
wake
up
smooth
moisturizer
soft
packaging
amazing
well
give
2
stars
nice
lovely
upon
application
feels
very
continued
noticed
getting
more
pores
pimples
around
aquaphor
makes
than
they
initially
were
disappointing
:
at
or
while
putting
reapply
during
definitely
win
stuff
first
had
sample
size
sephora
birthday
gift
once
run
through
knew
purchase
live
incredibly
environment
terrible
helps
keep
becoming
too
chapped
purchased
sweet
candy
obsessed
be
honest
bit
strong
-
are
strongly
scented
product
pricey
one
figured
take
whole
container
smells
good
cute
wonders
never
fails
make
hydrated
tint
shine
gloss
day
got
two
these
full
went
them
quickly
ingredients
made
wanted
like
bad
hard
pass
sticking
now
/
does
smell
absolutely
delicious
?
yes
much
overnight
nope
still
keeping
laneige
days
ago
berry
hydrating
glossy
really
how
feel
perfect
lasts
forever
used
about
almost
year
only
need
quick
moisturizing
pick
colour
except
which
next
kit
5
minis
christmas
instantly
can
lipgloss
ever
there
wrong
think
overhyped
tiktok
actually
something
cheaper
test
￼
nightly
results
cleaner
unlike
certain
masks
tried
wore
month
woke
thick
creamy
hours
daytime
helping
acne
scars
fake
no
idea
why
last
week
hurt
stopped
heal
doing
might
allergic
thing
lasted
over
6
months
decent
job
problem
that
part
matter
exfoliated
else
routine
adding
out
fix
dried
throughout
sticky
feeling
since
purchasing
again
hyped
prefer
half
point
horrible
either
plus
pretty
sure
animals
buy
want
wear
reason
star
stay
enough
keeps
impressed
struggle
peeling
winter
top
liner
plumped
look
found
please
research
body
especially
everyone
100
%
been
couple
seems
however
seen
improvement
other
happened
back
try
laniege
gave
friend
’
s
times
treatment
literally
products
sleeping
applied
3
we
vanilla
multiple
hydrate
standard
balms
change
consistency
would
say
its
turn
looking
help
buttery
wish
definite
saved
life
received
pack
left
drier
